AlphA. deg.	Ni Ka XRF, A.u. curve 2	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	0,03401	0,0826	0,03638	0,0375
--	--	--	--	--	0,0341	0,08299	0,03648	0,03772
--	--	--	--	--	0,03419	0,08338	0,03657	0,03794
--	--	--	--	--	0,03428	0,08378	0,03667	0,03816
--	--	--	--	--	0,03437	0,08417	0,03676	0,03838
--	--	--	--	--	0,03445	0,08457	0,03685	0,03861
--	--	--	--	--	0,03454	0,08497	0,03695	0,03883
--	--	--	--	--	0,03463	0,08537	0,03704	0,03906
--	--	--	--	--	0,03472	0,08577	0,03714	0,03928
--	--	--	--	--	0,03481	0,08617	0,03723	0,03951
--	--	--	--	--	0,0349	0,08658	0,03733	0,03974
--	--	--	--	--	0,03499	0,08698	0,03742	0,03997
--	--	--	--	--	0,035	0,08703	0,03752	0,0402
--	--	--	--	--	0,03508	0,08739	0,03761	0,04043
--	--	--	--	--	0,03517	0,0878	0,03771	0,04066
--	--	--	--	--	0,03526	0,08821	0,0378	0,0409
--	--	--	--	--	0,03535	0,08862	0,0379	0,04113
--	--	--	--	--	0,03544	0,08904	0,03799	0,04137
--	--	--	--	--	0,03553	0,08945	0,03808	0,04161
--	--	--	--	--	0,03562	0,08987	0,03818	0,04184
--	--	--	--	--	0,03571	0,09028	0,03827	0,04208
--	--	--	--	--	0,03579	0,0907	0,03837	0,04233
--	--	--	--	--	0,03588	0,09112	0,03846	0,04257
--	--	--	--	--	0,03597	0,09154	0,0385	0,04266
--	--	--	--	--	0,03606	0,09197	0,03856	0,04281
--	--	--	--	--	0,03615	0,09239	0,03865	0,04306
--	--	--	--	--	0,03624	0,09282	0,03875	0,0433
--	--	--	--	--	0,03633	0,09325	0,03884	0,04355
--	--	--	--	--	0,03642	0,09368	0,03894	0,0438
--	--	--	--	--	0,03651	0,09411	0,03903	0,04405
--	--	--	--	--	0,0366	0,09454	0,03912	0,0443
